,Title,Director,Actors,Rating,Income,Country,Duration,Type,Year
20,摔跤吧！爸爸,李·昂克里奇,阿米尔·汗、沙克希·坦沃、法缇玛·萨那·纱卡,9.8,暂无,印度,140分钟, 喜剧   动作   家庭  ,2017-05-05
21,何以为家,阿德里安·莫利纳,赞恩·阿尔·拉菲亚、约丹诺斯·希费罗、博鲁瓦蒂夫·特雷杰·班科尔,9.3,37684,黎巴嫩,116分钟, 剧情  ,2019-04-29
22,少年派的奇幻漂流,涅提·蒂瓦里,苏拉·沙玛、伊尔凡·可汗、塔布,9.0,57288,"美国,中国台湾,英国,加拿大",127分钟, 剧情   奇幻   冒险  ,2012-11-22
23,小丑,娜丁·拉巴基,华金·菲尼克斯、罗伯特·德尼罗、亚历克·鲍德温,8.6,暂无,美国,122分钟, 剧情   惊悚   犯罪  ,2019-10-04
24,忠犬八公的故事,李安,Forest、理查·基尔、琼·艾伦,9.3,暂无,"美国,英国",93分钟, 剧情  ,2009-06-13
25,泰坦尼克号,托德·菲利普斯,莱昂纳多·迪卡普里奥、凯特·温丝莱特、比利·赞恩,9.4,130615,美国,194分钟, 剧情   爱情   灾难  ,1998-04-03
26,你的名字。,拉斯·霍尔斯道姆,上白石萌音、佟心竹、神木隆之介,9.2,57571,日本,106分钟, 爱情   动画   奇幻  ,2016-12-02
27,当幸福来敲门,詹姆斯·卡梅隆,威尔·史密斯、贾登·史密斯、坦迪·牛顿,9.3,981,美国,117分钟, 剧情   家庭   传记  ,2008-01-17
28,天堂电影院,新海诚,菲利浦·诺瓦雷、雅克·贝汉、马克·莱昂纳蒂,9.3,2000,意大利,124分钟, 剧情   爱情  ,2021-06-11
29,熔炉,加布里埃莱·穆奇诺,孔刘、郑有美、金智英,8.8,暂无,韩国,125分钟, 剧情  ,2011-09-22
30,放牛班的春天,朱塞佩·托纳多雷,热拉尔·朱尼奥、让-巴蒂斯特·莫尼耶、玛丽·布奈尔,8.8,暂无,"法国,德国,瑞士",96分钟, 剧情   喜剧   音乐  ,2004-10-16
31,龙猫,黄东赫,秦岚、糸井重里、岛本须美,9.2,17370,日本,86分钟, 动画   冒险   奇幻   家庭  ,2018-12-14
32,看不见的客人,克里斯托夫·巴拉蒂,马里奥·卡萨斯、阿娜·瓦格纳、何塞·科罗纳多,9.4,暂无,西班牙,106分钟, 犯罪   悬疑   惊悚  ,2017-09-15
33,教父,宫崎骏,马龙·白兰度、阿尔·帕西诺、詹姆斯·肯恩,9.3,暂无,美国,175分钟, 剧情   惊悚   犯罪  ,2015-04-18
34,头号玩家,奥里奥尔·保罗,泰伊·谢里丹、奥利维亚·库克、本·门德尔森,9.0,139668,美国,140分钟, 动作   冒险   科幻  ,2018-03-30
35,被嫌弃的松子的一生,弗朗西斯·福特·科波拉,中谷美纪、永山瑛太、伊势谷友介,8.5,暂无,日本,130分钟, 剧情   歌舞  ,2006-05-27
36,活着,史蒂文·斯皮尔伯格,葛优、巩俐、牛犇,9.0,暂无,"中国大陆,中国香港",132分钟, 剧情   家庭   历史  ,1994-05-17
37,三块广告牌,中岛哲也,弗兰西斯·麦克多蒙德、伍迪·哈里森、山姆·洛克威尔,8.6,6499,美国,115分钟, 剧情   犯罪  ,2018-03-02
38,请以你的名字呼唤我,酒井圣博,提莫西·查拉梅、艾米·汉莫、迈克尔·斯图巴,8.0,暂无,"意大利,法国,巴西,美国,荷兰,德国",132分钟, 爱情   剧情  ,2017-01-22
39,死亡诗社,张艺谋,罗宾·威廉姆斯、伊桑·霍克、柯特伍德·史密斯,8.7,暂无,美国,128分钟, 剧情  ,1989-06-02
40,闻香识女人,马丁·麦克唐纳,阿尔·帕西诺、克里斯·奥唐纳、加布里埃尔·安瓦尔,8.8,暂无,美国,157分钟, 剧情  ,1992-12-23
